columns,sku_id,title,description,availability,condition,price,link,image_link,video_link,brand,additional_image_link,age_group,color,gender,item_group_id,퀵배송,방문수령,배송비 결제방법,배송비 유형,기본 배송비,조건부 무료,무게별차등배송비기본가격,무게별차등배송비무게,무게별차등배송비가격,수량별차등배송비타입,수량별차등배송비기본가격,수량별차등배송비수량,수량별차등배송비가격,수량별차등배송비반복수량,수량별차등배송비반복가격,구매금액별차등배송비기본가격,구매금액별차등배송비구매금액,구매금액별차등배송비가격,묶음배송 가능,별도설치비,기본지역별 배송비 사용 여부,지역별 배송비 사용 여부,지역별 배송비 유형,간편설정(제주도 추가 배송비),간편설정(도서산간 추가 배송비),우편번호 등록(시작구간),우편번호 등록(종료구간),우편번호 등록(추가배송비),국내지역 등록(광역시/도),국내지역 등록(시/군/구),국내지역 등록(추가배송비),적립금설정,구매시적립금지급값,구매시적립금지급단위,할인적용대상,할인금액,할인금액단위,옵션사용,옵션형태,필수옵션명,필수옵션값,필수옵션재고수량합계,선택옵션명,선택옵션값,선택옵션재고수량합계,입력형옵션,0원선택옵션최대구매수량,재고소진후주문가능여부,네이버다음쇼핑노출용상품명,네이버 쇼핑 이벤트 문구,네이버 쇼핑 카테고리 ID,최소 구매수량,최대 구매수량,품목별 수량 제한,1인 최대 구매수량,주문제작상품,병행수입,해외구매대행,판매방식,다음쇼핑하우노출,네이버쇼핑노출,네이버페이,Facebook 다이내믹 광고 설정,크리테오,톡체크아웃,지그재그 연동 설정
83,10091,GUILTY silver-green,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=83,https://cdn.imweb.me/thumbnail/20250317/a2494b4d6d02c.jpg,,COE 코에,https://cdn.imweb.me/thumbnail/20250223/a00ebfcf9632b.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,coe guilty-코에 길티 메탈 선글라스,,50000554,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
82,10092,GUILTY gold-smoke,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=82,https://cdn.imweb.me/thumbnail/20250220/5fc561eea8eac.jpg,,COE 코에,https://cdn.imweb.me/thumbnail/20250225/8c30b2c0eb56e.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
81,10089,GUILTY black-brown,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=81,https://cdn.imweb.me/thumbnail/20250220/70441b7341ad2.jpg,,COE,https://cdn.imweb.me/thumbnail/20250223/5a4060a25bda4.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
80,10090,GUILTY black-smoke,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=80,https://cdn.imweb.me/thumbnail/20250220/28a64d0bfae33.jpg,,COE,https://cdn.imweb.me/thumbnail/20250312/b360439df39e0.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
79,10086,UNLOVED silver-green,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=79,https://cdn.imweb.me/thumbnail/20250220/7ab2366ffa1ca.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/58b047fda0c5e.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
78,10087,UNLOVED gold-smoke,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=78,https://cdn.imweb.me/thumbnail/20250220/9d00fb62f7c42.jpg,,COE,https://cdn.imweb.me/thumbnail/20250220/c14007e6e3140.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
77,10084,UNLOVED black-brown,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=77,https://cdn.imweb.me/thumbnail/20250220/eda05410cdba6.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/2a231d846c597.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
76,10085,UNLOVED black-smoke,CATE5,in stock,new,215000,https://c-o-e.kr/sun/?idx=76,https://cdn.imweb.me/thumbnail/20250220/773dbf7e11374.jpg,,COE,https://cdn.imweb.me/thumbnail/20250308/786b58ddf113c.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
54,10115,RELAXED taupe,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=54,https://cdn.imweb.me/thumbnail/20250115/4f520c537cd37.jpg,,COE,https://cdn.imweb.me/thumbnail/20250223/18af053698e53.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
53,10114,RELAXED olive,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=53,https://cdn.imweb.me/thumbnail/20250115/41835c4a92f32.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/fababd86a5206.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
52,10113,RELAXED leo,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=52,https://cdn.imweb.me/thumbnail/20250115/5c4cd63036601.jpg,,COE,https://cdn.imweb.me/thumbnail/20250226/12646323a9689.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
51,10112,RELAXED black-brown,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=51,https://cdn.imweb.me/thumbnail/20250115/bc6ed11e2fc86.jpg,,COE코에,https://cdn.imweb.me/thumbnail/20250228/092521a0e4de6.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
49,10111,RELAXED black-smoke,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=49,https://cdn.imweb.me/thumbnail/20250115/7912999032a3d.jpg,,COE,https://cdn.imweb.me/thumbnail/20250117/9d7d64e21fba4.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
50,10110,SENSUAL taupe,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=50,https://cdn.imweb.me/thumbnail/20250116/5ba2e62606a85.jpg,,COE,https://cdn.imweb.me/thumbnail/20250321/090b5e16456f5.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
48,10109,SENSUAL olive,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=48,https://cdn.imweb.me/thumbnail/20250116/66be6427f8f65.jpg,,COE,https://cdn.imweb.me/thumbnail/20250120/ba35663ddd204.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
47,10108,SENSUAL leo,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=47,https://cdn.imweb.me/thumbnail/20250116/02378315f901c.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/de2dc591d9728.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
45,10107,SENSUAL black-brown,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=45,https://cdn.imweb.me/thumbnail/20250117/5859dad0bca9a.jpg,,COE,https://cdn.imweb.me/thumbnail/20250301/3981d424afda4.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
46,10106,SENSUAL black-smoke,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=46,https://cdn.imweb.me/thumbnail/20250117/09b26dab0f77d.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/8fd443b8131be.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
44,10120,BITTER taupe,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=44,https://cdn.imweb.me/thumbnail/20250116/ae8b902ffbc4f.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/3c51a9f6a30a0.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
43,10119,BITTER olive,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=43,https://cdn.imweb.me/thumbnail/20250116/affd009ccba36.jpg,,COE,https://cdn.imweb.me/thumbnail/20250311/8e86573f73b3b.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
42,10118,BITTER leo,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=42,https://cdn.imweb.me/thumbnail/20250116/9e2fdff72e7bd.jpg,,COE,https://cdn.imweb.me/thumbnail/20250222/995411dadfde0.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
37,10117,BITTER black-brown,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=37,https://cdn.imweb.me/thumbnail/20250116/a60d973d7db40.jpg,,COE,https://cdn.imweb.me/thumbnail/20250224/61c24f5da0add.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
41,10116,BITTER black-smoke,CATE5,in stock,new,195000,https://c-o-e.kr/sun/?idx=41,https://cdn.imweb.me/thumbnail/20250116/5912bdf4543c3.jpg,,COE,https://cdn.imweb.me/thumbnail/20250120/810855ec4dbd6.jpg,adult,,unisex,Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
